,metric,method,truncation_mode,level,k,silhouette,DBscore
190,correlation,complete,,4,6,0.18164962953150152,1.7729838517131917
191,correlation,complete,,4,7,0.1813078945821001,1.7255643393848115
192,correlation,complete,,4,8,0.18338251201000702,1.7742867828761035
193,correlation,complete,,4,9,0.15485626427776394,1.708498908971925
194,correlation,complete,,4,10,0.24394659246798833,1.597623361703236
195,correlation,complete,lastp,2,6,0.18164962953150152,1.7729838517131917
196,correlation,complete,lastp,2,7,0.1813078945821001,1.7255643393848115
197,correlation,complete,lastp,2,8,0.18338251201000702,1.7742867828761035
198,correlation,complete,lastp,2,9,0.15485626427776394,1.708498908971925
199,correlation,complete,lastp,2,10,0.24394659246798833,1.597623361703236
200,correlation,complete,lastp,3,6,0.18164962953150152,1.7729838517131917
201,correlation,complete,lastp,3,7,0.1813078945821001,1.7255643393848115
202,correlation,complete,lastp,3,8,0.18338251201000702,1.7742867828761035
203,correlation,complete,lastp,3,9,0.15485626427776394,1.708498908971925
204,correlation,complete,lastp,3,10,0.24394659246798833,1.597623361703236
205,correlation,complete,lastp,4,6,0.18164962953150152,1.7729838517131917
206,correlation,complete,lastp,4,7,0.1813078945821001,1.7255643393848115
207,correlation,complete,lastp,4,8,0.18338251201000702,1.7742867828761035
208,correlation,complete,lastp,4,9,0.15485626427776394,1.708498908971925
209,correlation,complete,lastp,4,10,0.24394659246798833,1.597623361703236
210,correlation,complete,level,2,6,0.18164962953150152,1.7729838517131917
211,correlation,complete,level,2,7,0.1813078945821001,1.7255643393848115
212,correlation,complete,level,2,8,0.18338251201000702,1.7742867828761035
213,correlation,complete,level,2,9,0.15485626427776394,1.708498908971925
214,correlation,complete,level,2,10,0.24394659246798833,1.597623361703236
215,correlation,complete,level,3,6,0.18164962953150152,1.7729838517131917
216,correlation,complete,level,3,7,0.1813078945821001,1.7255643393848115
217,correlation,complete,level,3,8,0.18338251201000702,1.7742867828761035
218,correlation,complete,level,3,9,0.15485626427776394,1.708498908971925
219,correlation,complete,level,3,10,0.24394659246798833,1.597623361703236
220,correlation,complete,level,4,6,0.18164962953150152,1.7729838517131917
221,correlation,complete,level,4,7,0.1813078945821001,1.7255643393848115
222,correlation,complete,level,4,8,0.18338251201000702,1.7742867828761035
223,correlation,complete,level,4,9,0.15485626427776394,1.708498908971925
224,correlation,complete,level,4,10,0.24394659246798833,1.597623361703236
225,correlation,single,,2,6,0.09180153423710825,0.7109143061852534
226,correlation,single,,2,7,0.09150347452746896,0.6986043983641756
227,correlation,single,,2,8,0.09038470414243174,0.681454811983587
228,correlation,single,,2,9,0.09018292659387446,0.6667317841622348
229,correlation,single,,2,10,0.08673901876568393,0.6570393455305932
230,correlation,single,,3,6,0.09180153423710825,0.7109143061852534
231,correlation,single,,3,7,0.09150347452746896,0.6986043983641756
232,correlation,single,,3,8,0.09038470414243174,0.681454811983587
233,correlation,single,,3,9,0.09018292659387446,0.6667317841622348
234,correlation,single,,3,10,0.08673901876568393,0.6570393455305932
235,correlation,single,,4,6,0.09180153423710825,0.7109143061852534
236,correlation,single,,4,7,0.09150347452746896,0.6986043983641756
237,correlation,single,,4,8,0.09038470414243174,0.681454811983587
238,correlation,single,,4,9,0.09018292659387446,0.6667317841622348
239,correlation,single,,4,10,0.08673901876568393,0.6570393455305932
240,correlation,single,lastp,2,6,0.09180153423710825,0.7109143061852534
241,correlation,single,lastp,2,7,0.09150347452746896,0.6986043983641756
242,correlation,single,lastp,2,8,0.09038470414243174,0.681454811983587
243,correlation,single,lastp,2,9,0.09018292659387446,0.6667317841622348
244,correlation,single,lastp,2,10,0.08673901876568393,0.6570393455305932
245,correlation,single,lastp,3,6,0.09180153423710825,0.7109143061852534
246,correlation,single,lastp,3,7,0.09150347452746896,0.6986043983641756
247,correlation,single,lastp,3,8,0.09038470414243174,0.681454811983587
248,correlation,single,lastp,3,9,0.09018292659387446,0.6667317841622348
249,correlation,single,lastp,3,10,0.08673901876568393,0.6570393455305932
250,correlation,single,lastp,4,6,0.09180153423710825,0.7109143061852534
251,correlation,single,lastp,4,7,0.09150347452746896,0.6986043983641756
252,correlation,single,lastp,4,8,0.09038470414243174,0.681454811983587
253,correlation,single,lastp,4,9,0.09018292659387446,0.6667317841622348
254,correlation,single,lastp,4,10,0.08673901876568393,0.6570393455305932
255,correlation,single,level,2,6,0.09180153423710825,0.7109143061852534
256,correlation,single,level,2,7,0.09150347452746896,0.6986043983641756
257,correlation,single,level,2,8,0.09038470414243174,0.681454811983587
258,correlation,single,level,2,9,0.09018292659387446,0.6667317841622348
259,correlation,single,level,2,10,0.08673901876568393,0.6570393455305932
260,correlation,single,level,3,6,0.09180153423710825,0.7109143061852534
261,correlation,single,level,3,7,0.09150347452746896,0.6986043983641756
262,correlation,single,level,3,8,0.09038470414243174,0.681454811983587
263,correlation,single,level,3,9,0.09018292659387446,0.6667317841622348
264,correlation,single,level,3,10,0.08673901876568393,0.6570393455305932
265,correlation,single,level,4,6,0.09180153423710825,0.7109143061852534
266,correlation,single,level,4,7,0.09150347452746896,0.6986043983641756
267,correlation,single,level,4,8,0.09038470414243174,0.681454811983587
268,correlation,single,level,4,9,0.09018292659387446,0.6667317841622348
269,correlation,single,level,4,10,0.08673901876568393,0.6570393455305932
270,correlation,average,,2,6,0.15705473170842382,1.3474484930025457
271,correlation,average,,2,7,0.1512647273022391,1.3560165185044772
272,correlation,average,,2,8,0.14658294616991885,1.3665249338863057
273,correlation,average,,2,9,0.2976597221436695,1.3421313045258394
274,correlation,average,,2,10,0.29429351772951823,1.2640193644468498
275,correlation,average,,3,6,0.15705473170842382,1.3474484930025457
276,correlation,average,,3,7,0.1512647273022391,1.3560165185044772
277,correlation,average,,3,8,0.14658294616991885,1.3665249338863057
278,correlation,average,,3,9,0.2976597221436695,1.3421313045258394
279,correlation,average,,3,10,0.29429351772951823,1.2640193644468498
280,correlation,average,,4,6,0.15705473170842382,1.3474484930025457
281,correlation,average,,4,7,0.1512647273022391,1.3560165185044772
282,correlation,average,,4,8,0.14658294616991885,1.3665249338863057
283,correlation,average,,4,9,0.2976597221436695,1.3421313045258394
284,correlation,average,,4,10,0.29429351772951823,1.2640193644468498
285,correlation,average,lastp,2,6,0.15705473170842382,1.3474484930025457
286,correlation,average,lastp,2,7,0.1512647273022391,1.3560165185044772
287,correlation,average,lastp,2,8,0.14658294616991885,1.3665249338863057
288,correlation,average,lastp,2,9,0.2976597221436695,1.3421313045258394
289,correlation,average,lastp,2,10,0.29429351772951823,1.2640193644468498
290,correlation,average,lastp,3,6,0.15705473170842382,1.3474484930025457
291,correlation,average,lastp,3,7,0.1512647273022391,1.3560165185044772
292,correlation,average,lastp,3,8,0.14658294616991885,1.3665249338863057
293,correlation,average,lastp,3,9,0.2976597221436695,1.3421313045258394
294,correlation,average,lastp,3,10,0.29429351772951823,1.2640193644468498
295,correlation,average,lastp,4,6,0.15705473170842382,1.3474484930025457
296,correlation,average,lastp,4,7,0.1512647273022391,1.3560165185044772
297,correlation,average,lastp,4,8,0.14658294616991885,1.3665249338863057
298,correlation,average,lastp,4,9,0.2976597221436695,1.3421313045258394
299,correlation,average,lastp,4,10,0.29429351772951823,1.2640193644468498
300,correlation,average,level,2,6,0.15705473170842382,1.3474484930025457
301,correlation,average,level,2,7,0.1512647273022391,1.3560165185044772
302,correlation,average,level,2,8,0.14658294616991885,1.3665249338863057
303,correlation,average,level,2,9,0.2976597221436695,1.3421313045258394
304,correlation,average,level,2,10,0.29429351772951823,1.2640193644468498
305,correlation,average,level,3,6,0.15705473170842382,1.3474484930025457
306,correlation,average,level,3,7,0.1512647273022391,1.3560165185044772
307,correlation,average,level,3,8,0.14658294616991885,1.3665249338863057
